food_code,food_name,meal_type,primarysource,energy_kj,energy_kcal,carb_g,protein_g,fat_g,freesugar_g,fibre_g,sfa_mg,mufa_mg,pufa_mg,cholesterol_mg,calcium_mg,phosphorus_mg,magnesium_mg,sodium_mg,potassium_mg,iron_mg,copper_mg,selenium_ug,chromium_mg,manganese_mg,molybdenum_mg,zinc_mg,vita_ug,vite_mg,vitd2_ug,vitd3_ug,vitk1_ug,vitk2_ug,folate_ug,vitb1_mg,vitb2_mg,vitb3_mg,vitb5_mg,vitb6_mg,vitb7_ug,vitb9_ug,vitc_mg,carotenoids_ug,servings_unit,unit_serving_energy_kj,unit_serving_energy_kcal,unit_serving_carb_g,unit_serving_protein_g,unit_serving_fat_g,unit_serving_freesugar_g,unit_serving_fibre_g,unit_serving_sfa_mg,unit_serving_mufa_mg,unit_serving_pufa_mg,unit_serving_cholesterol_mg,unit_serving_calcium_mg,unit_serving_phosphorus_mg,unit_serving_magnesium_mg,unit_serving_sodium_mg,unit_serving_potassium_mg,unit_serving_iron_mg,unit_serving_copper_mg,unit_serving_selenium_ug,unit_serving_chromium_mg,unit_serving_manganese_mg,unit_serving_molybdenum_mg,unit_serving_zinc_mg,unit_serving_vita_ug,unit_serving_vite_mg,unit_serving_vitd2_ug,unit_serving_vitd3_ug,unit_serving_vitk1_ug,unit_serving_vitk2_ug,unit_serving_folate_ug,unit_serving_vitb1_mg,unit_serving_vitb2_mg,unit_serving_vitb3_mg,unit_serving_vitb5_mg,unit_serving_vitb6_mg,unit_serving_vitb7_ug,unit_serving_vitb9_ug,unit_serving_vitc_mg,unit_serving_carotenoids_ug
ASC001,Hot tea (Garam Chai),veg,asc_manual,68.16,16.14,2.58,0.39,0.53,2.58,0.00,321.50,144.18,16.39,0.00,14.20,11.50,1.04,3.12,13.95,0.02,0.01,0.11,0.00,0.00,0.00,0.04,0.00,0.03,0.00,0.00,0.00,0.00,0.86,0.00,0.01,0.01,0.04,0.00,0.24,0.86,0.24,23.75,tea cup,143.48,33.98,5.43,0.82,1.12,5.42,0.00,676.75,303.50,34.50,0.00,29.90,24.21,2.18,6.56,29.35,0.05,0.01,0.24,0.00,0.00,0.00,0.09,0.00,0.05,0.00,0.00,0.00,0.00,1.80,0.01,0.03,0.02,0.09,0.01,0.51,1.80,0.50,50.00
ASC002,Instant coffee,veg,asc_manual,97.77,23.16,3.65,0.64,0.75,3.62,0.00,451.17,202.33,23.00,0.00,20.87,18.19,3.63,4.92,44.50,0.06,0.01,0.22,0.00,0.02,0.00,0.06,0.00,0.04,0.00,0.00,0.03,0.00,1.25,0.01,0.02,0.18,0.06,0.01,0.78,1.25,0.34,33.33,tea cup,439.95,104.20,16.44,2.88,3.36,16.27,0.00,2030.25,910.50,103.50,0.00,93.90,81.84,16.35,22.13,200.25,0.27,0.06,0.98,0.00,0.07,0.00,0.29,0.00,0.17,0.00,0.00,0.13,0.00,5.60,0.02,0.09,0.80,0.25,0.03,3.49,5.60,1.51,150.00
ASC005,Raw mango drink (Aam panna),veg,asc_manual,152.39,35.92,9.05,0.16,0.03,7.49,0.61,6.14,5.89,9.43,0.00,7.08,3.34,4.25,79.82,31.45,0.14,0.03,0.05,0.00,0.05,0.01,0.03,0.00,0.17,1.46,0.00,3.44,0.00,5.23,0.00,0.00,0.05,0.03,0.03,0.27,5.23,16.87,167.19,tall glass,409.18,96.44,24.29,0.42,0.07,20.11,1.64,16.48,15.81,25.32,0.00,19.00,8.95,11.41,214.33,84.45,0.36,0.07,0.13,0.01,0.14,0.03,0.08,0.00,0.46,3.92,0.00,9.25,0.00,14.05,0.01,0.01,0.14,0.07,0.07,0.73,14.05,45.30,448.89
ASC008,Lemonade,veg,asc_manual,88.66,20.80,5.48,0.03,0.01,5.47,0.02,4.65,0.04,5.30,0.00,1.84,0.67,0.73,28.52,5.73,0.05,0.01,0.07,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.47,0.00,0.60,0.00,0.00,0.01,0.01,0.00,0.01,0.60,1.51,53.70,glass,309.65,72.64,19.13,0.12,0.04,19.11,0.06,16.25,0.13,18.52,0.00,6.42,2.34,2.55,99.62,20.01,0.17,0.03,0.26,0.00,0.01,0.01,0.04,0.00,0.00,0.03,0.00,1.64,0.00,2.11,0.00,0.00,0.02,0.02,0.01,0.02,2.11,5.27,187.53
ASC010,Cumin infused water (Jeere/Zeere ka pani),veg,asc_manual,38.23,9.09,1.86,0.17,0.11,1.46,0.46,14.50,40.04,33.53,0.00,10.84,4.47,5.28,189.60,32.15,0.32,0.02,0.13,0.00,0.23,0.02,0.04,0.00,0.01,0.57,0.00,1.77,0.00,0.93,0.01,0.00,0.05,0.01,0.01,0.03,0.93,1.07,64.09,glass,129.54,30.80,6.32,0.57,0.37,4.95,1.57,49.14,135.67,113.62,0.00,36.75,15.15,17.89,642.49,108.95,1.07,0.06,0.44,0.01,0.79,0.06,0.14,0.00,0.05,1.94,0.00,5.99,0.00,3.14,0.03,0.01,0.17,0.04,0.02,0.12,3.14,3.61,217.20
ASC016,Banana milkshake (Kele milkshake),veg,asc_manual,274.33,65.31,9.15,1.84,2.37,7.96,0.26,1423.07,634.17,87.19,0.00,62.64,52.77,7.92,13.61,102.43,0.13,0.03,0.49,0.00,0.05,0.00,0.19,0.00,0.13,0.02,0.00,0.25,0.00,5.74,0.02,0.06,0.10,0.22,0.08,1.21,5.74,1.98,134.30,tall glass,947.80,225.63,31.60,6.37,8.19,27.49,0.88,4916.70,2191.05,301.24,0.00,216.42,182.33,27.35,47.02,353.88,0.46,0.12,1.71,0.01,0.16,0.00,0.67,0.00,0.43,0.08,0.00,0.88,0.00,19.83,0.06,0.21,0.34,0.75,0.28,4.18,19.83,6.84,464.00
ASC017,Mango milkshake (Aam milkshake),veg,asc_manual,239.13,56.90,7.23,1.73,2.35,7.15,0.26,1394.57,633.56,88.45,0.00,62.33,50.50,6.17,13.27,79.07,0.15,0.03,0.75,0.00,0.04,0.00,0.19,0.00,0.15,0.52,0.00,0.67,0.00,15.10,0.02,0.06,0.08,0.19,0.04,1.23,15.10,5.65,301.55,tall glass,850.10,202.28,25.71,6.14,8.34,25.41,0.94,4957.70,2252.30,314.44,0.00,221.60,179.52,21.94,47.19,281.08,0.55,0.12,2.66,0.02,0.13,0.00,0.67,0.00,0.54,1.86,0.00,2.38,0.00,53.68,0.07,0.22,0.28,0.67,0.13,4.36,53.68,20.10,1072.00
ASC019,Orange milkshake (Narangi milkshake),veg,asc_manual,241.50,57.42,7.11,1.86,2.52,7.08,0.00,1525.07,683.94,77.75,0.00,67.42,55.47,5.30,14.63,73.43,0.11,0.02,0.54,0.00,0.01,0.00,0.19,0.00,0.14,0.00,0.00,0.00,0.00,5.28,0.02,0.06,0.05,0.20,0.02,1.16,5.28,3.39,115.26,tall glass,771.60,183.44,22.71,5.96,8.06,22.62,0.00,4872.60,2185.20,248.40,0.00,215.40,177.23,16.94,46.73,234.60,0.34,0.07,1.71,0.01,0.03,0.00,0.61,0.00,0.45,0.00,0.00,0.00,0.00,16.85,0.07,0.20,0.17,0.65,0.08,3.71,16.85,10.82,368.25
ASC021,Sweet Lassi (Meethi lassi),veg,asc_manual,151.19,35.66,6.51,1.29,0.68,6.51,0.00,431.64,178.53,22.60,2.49,45.65,38.46,4.38,18.31,63.50,0.03,0.01,0.45,0.00,0.00,0.00,0.16,6.33,0.01,0.00,0.00,0.00,0.00,4.07,0.01,0.06,0.05,0.11,0.02,0.59,4.07,0.23,4.75,tall glass,669.00,157.80,28.80,5.70,3.00,28.80,0.00,1910.00,790.00,100.00,11.00,202.00,170.20,19.40,81.00,281.00,0.14,0.02,2.00,0.00,0.00,0.00,0.72,28.00,0.05,0.00,0.00,0.00,0.00,18.00,0.06,0.27,0.20,0.50,0.10,2.60,18.00,1.00,21.00
ASC022,Chach/Butter Milk (salted),veg,asc_manual,79.43,18.84,1.86,1.35,0.72,1.84,0.02,451.64,191.60,26.17,2.60,47.78,40.39,4.84,65.40,67.37,0.04,0.00,0.47,0.00,0.00,0.00,0.17,6.62,0.01,0.01,0.00,0.09,0.00,4.27,0.01,0.06,0.05,0.12,0.02,0.62,4.27,0.24,5.29,tall glass,336.18,79.76,7.86,5.73,3.04,7.80,0.08,1911.55,810.95,110.78,11.00,202.24,170.96,20.49,276.81,285.16,0.15,0.00,2.01,0.00,0.01,0.01,0.71,28.00,0.05,0.03,0.00,0.37,0.00,18.07,0.06,0.27,0.21,0.50,0.10,2.60,18.07,1.02,22.38
